ARQUIVO;COMPETENCIA_PASTA;EH_MOVIMENTACAO;TEM_SALARIO;QTD_COLS_REAIS;QTD_COLS_VIRTUAIS;STATUS;COLUNAS_REAIS;COLUNAS_VIRTUAIS
s3://bronze/caged_old/ano_hive=2014/mes_hive=12/caged_old_201412.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2015/mes_hive=01/caged_old_201501.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2015/mes_hive=02/caged_old_201502.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2015/mes_hive=03/caged_old_201503.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2015/mes_hive=04/caged_old_201504.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2015/mes_hive=05/caged_old_201505.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2015/mes_hive=06/caged_old_201506.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2015/mes_hive=07/caged_old_201507.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2015/mes_hive=08/caged_old_201508.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2015/mes_hive=09/caged_old_201509.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2015/mes_hive=10/caged_old_201510.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2015/mes_hive=11/caged_old_201511.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2015/mes_hive=12/caged_old_201512.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2016/mes_hive=01/caged_old_201601.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2016/mes_hive=02/caged_old_201602.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2016/mes_hive=03/caged_old_201603.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2016/mes_hive=04/caged_old_201604.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2016/mes_hive=05/caged_old_201605.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2016/mes_hive=06/caged_old_201606.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2016/mes_hive=07/caged_old_201607.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2016/mes_hive=08/caged_old_201608.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2016/mes_hive=09/caged_old_201609.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2016/mes_hive=10/caged_old_201610.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2016/mes_hive=11/caged_old_201611.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2016/mes_hive=12/caged_old_201612.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2017/mes_hive=01/caged_old_201701.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2017/mes_hive=02/caged_old_201702.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2017/mes_hive=03/caged_old_201703.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2017/mes_hive=04/caged_old_201704.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2017/mes_hive=05/caged_old_201705.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2017/mes_hive=06/caged_old_201706.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
s3://bronze/caged_old/ano_hive=2017/mes_hive=07/caged_old_201707.parquet;N/A;False;True;43;2;⚠️ OUTRA_TABELA;admitidosdesligados, competencia_declarada, municipio, ano_declarado, cbo_2002_ocupacao, cnae_10_classe, cnae_20_classe, cnae_20_subclas, faixa_empr_inicio_jan, grau_instrucao, qtd_hora_contrat, ibge_subsetor, idade, ind_aprendiz, ind_portador_defic, raca_cor, salario_mensal, saldo_mov, sexo, tempo_emprego, tipo_estab, tipo_defic, tipo_mov_desagregado, uf, bairros_sp, bairros_fortaleza, bairros_rj, distritos_sp, regioes_adm_df, mesorregiao, microrregiao, regiao_adm_rj, regiao_adm_sp, regiao_corede, regiao_corede_04, regiao_gov_sp, regiao_senac_pr, regiao_senai_pr, regiao_senai_sp, subregiao_senai_pr, ano_particao, mes_particao, arquivo_origem;mes_hive, ano_hive
